message_id,title,title_ar,content,content_ar,summary,summary_ar,author,type,organization,subsidiary,department,categories,subcategories,hashtags,status,published_at,slug,meta_description,meta_keywords,media_url
6390,,,,"""أعزاءنا طلبة شهادة التعليم الثانوي في الفرع الأدبي، يُسعدنا أن نقدم لكم عبر الرابط المرفق نماذج استرشادية للمراجعة، تشمل موادكم الدراسية حسب كل مادة. نأمل أن تكون هذه النماذج عوناً لكم في تحصيلكم العلمي وتحقيق أفضل النتائج.""  لتحميل ملفات النماذج :   https://drive.google.com/drive/folders/13S1Pc19-D0p6cyqUBqYQbKcVFVWh0Aul  #الجمهورية_العربية_السورية  #وزارة_التربية_والتعليم        https://legalknowledgehouse.taplink.ws",,,Qarar Platform,General,MOE,,,Education,Secondary Education,"[""#الجمهورية_العربية_السورية"", ""#وزارة_التربية_والتعليم""]",published,2025-08-06 17:42:24,,,,
6389,,,,شروط ترخيص منصة إلكترونية  #الجمهورية_العربية_السورية #وزارة_الإعلام,,,Qarar Platform,General,MOINF,,,Communications,General,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الإعلام""]",published,2025-08-06 10:43:51,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006389_photo.jpg
6388,,,,شروط ترخيص منصة إلكترونية  #الجمهورية_العربية_السورية #وزارة_الإعلام,,,Qarar Platform,General,MOINF,,,Communications,General,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الإعلام""]",published,2025-08-06 10:43:51,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006388_photo.jpg
6387,,,,شروط ترخيص منصة إلكترونية  #الجمهورية_العربية_السورية #وزارة_الإعلام,,,Qarar Platform,General,MOINF,,,Communications,General,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الإعلام""]",published,2025-08-06 10:43:51,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006387_photo.jpg
6386,,,,شروط ترخيص منصة إلكترونية  #الجمهورية_العربية_السورية #وزارة_الإعلام,,,Qarar Platform,General,MOINF,,,Communications,General,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الإعلام""]",published,2025-08-06 10:43:51,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006386_photo.jpg
6385,,,,إحصائيات عمل مستشفى الشفاء خلال شهر حزيران 2025 #الجمهورية_العربية_السورية #وزارة_الصحة #مستشفى_الشفاء,,,Qarar Platform,General,MOH,,,Health,Hospitals and Health Centers,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الصحة"", ""#مستشفى_الشفاء""]",published,2025-08-06 10:42:42,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006385_photo.jpg
6384,,,,إحصائيات عمل مستشفى الشفاء خلال شهر حزيران 2025 #الجمهورية_العربية_السورية #وزارة_الصحة #مستشفى_الشفاء,,,Qarar Platform,General,MOH,,,Health,Hospitals and Health Centers,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الصحة"", ""#مستشفى_الشفاء""]",published,2025-08-06 10:42:42,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006384_photo.jpg
6383,,,,دورات تدريب وتطوير لوكلاء المجمع التربوي في يبرود   يعلن المجمع التربوي في يبرود عن بدء التسجيل في دورات التدريب والتطوير الخاصة بالوكلاء والوكيلات، تحت إشراف الأستاذ والمدرب معتز بالله خرنوب عضو لجنة التربية والتعليم، والموجّهة إلى:  - حملة الشهادة الثانوية أو الجامعية من خارج الملاك. - طلاب الجامعات الراغبين بالتوكيل ضمن مدارس الدورة.  مكان إقامة الدورات: المركز الثقافي في يبرود عدد ساعات التدريب: 50- 60 ساعة تدريبية الفترة: خلال شهري تموز وآب.  أهداف الدورات:  - تأهيل الكوادر التعليمية الراغبة في العمل ضمن المدارس.  - تطوير المهارات العلمية والتربوية بما يواكب متطلبات العملية التعليمية.  الامتيازات المقدّمة للمشاركين:  - شهادة حضور رسمية صادرة عن المجمع التربوي في يبرود.  - نقاط إضافية تُمنح للمشاركين، تعزز فرصهم عند التعيين.   على الراغبين بالمشاركة، يرجى التسجيل عبر الرابط التالي:  https://ee-eu.kobotoolbox.org/x/ThYg5AfU #سوريا,,,Qarar Platform,General,MOE,,,Education,Basic Education,"[""#سوريا""]",published,2025-08-06 10:42:16,,,,
6382,,,,"وزارة الأوقاف تُعلن نتائج مسابقة ""نوافذ"" لطلاب الجامعات ضمن حملتها الدعوية للعشر من ذي الحجة.       #الجمهورية_العربية_السورية  #وزارة_الأوقاف",,,Qarar Platform,Announcement,MOAW,,,Culture,Cultural Production,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الأوقاف""]",published,2025-08-06 10:42:04,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006382_photo.jpg
6381,,,,#تنويه  صادر عن مديرية التجارة الداخلية وحماية المستهلك في دير الزور.  #محافظة_ديرالزور,,,Qarar Platform,General,MOI,,,Commerce,General,"[""#تنويه"", ""#محافظة_ديرالزور""]",published,2025-08-06 10:41:47,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006381_photo.jpg
